infinitive,infinitive_english,mood,mood_english,tense,tense_english,form_1s,form_1s_english,form_2s,form_2s_english,form_3s,form_3s_english,form_1p,form_1p_english,form_2p,form_2p_english,form_3p,form_3p_english,gerund,gerund_english,pastparticiple,pastparticiple_english
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Presente,Present,abandono,abandon,abandonas,abandon,abandona,abandons,abandonamos,abandon,abandonáis,abandon,abandonan,abandon,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Futuro,Future,abandonaré,will abandon,abandonarás,will abandon,abandonará,will abandon,abandonaremos,will abandon,abandonaréis,will abandon,abandonarán,will abandon,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Imperfecto,Imperfect,abandonaba,was abandoning,abandonabas,were abandoning,abandonaba,was abandoning,abandonábamos,were abandoning,abandonabais,were abandoning,abandonaban,were abandoning,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Pretérito,Preterite,abandoné,abandoned,abandonaste,abandoned,abandonó,abandoned,abandonamos,abandoned,abandonasteis,abandoned,abandonaron,abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Condicional,Conditional,abandonaría,would abandon,abandonarías,would abandon,abandonaría,would abandon,abandonaríamos,would abandon,abandonaríais,would abandon,abandonarían,would abandon,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Presente perfecto,Present Perfect,he abandonado,have abandoned,has abandonado,have abandoned,ha abandonado,has abandoned,hemos abandonado,have abandoned,habéis abandonado,have abandoned,han abandonado,have abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré abandonado,will have abandoned,habrás abandonado,will have abandoned,habrá abandonado,will have abandoned,habremos abandonado,will have abandoned,habréis abandonado,will have abandoned,habrán abandonado,will have abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había abandonado,had abandoned,habías abandonado,had abandoned,había abandonado,had abandoned,habíamos abandonado,had abandoned,habíais abandonado,had abandoned,habían abandonado,had abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube abandonado,,hubiste abandonado,,hubo abandonado,,hubimos abandonado,,hubisteis abandonado,,hubieron abandonado,,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría abandonado,would have abandoned,habrías abandonado,would have abandoned,habría abandonado,would have abandoned,habríamos abandonado,would have abandoned,habríais abandonado,would have abandoned,habrían abandonado,would have abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Subjuntivo,Subjunctive,Presente,Present,abandone,abandon,abandones,abandon,abandone,abandons,abandonemos,abandon,abandonéis,abandon,abandonen,abandon,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Subjuntivo,Subjunctive,Imperfecto,Imperfect,abandonara,was abandoning,abandonaras,were abandoning,abandonara,was abandoning,abandonáramos,were abandoning,abandonarais,were abandoning,abandonaran,were abandoning,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Subjuntivo,Subjunctive,Futuro,Future,abandonare,will abandon,abandonares,will abandon,abandonare,will abandon,abandonáremos,will abandon,abandonareis,will abandon,abandonaren,will abandon,abandonando,abandoning,abandonado,abandoned
